Time,Intensity
178.305,0.643863104
180.23,0.643648722
181.23,0.640230938
182.23,0.676738985
183.23,0.66868373
184.23,0.64752022
185.23,0.641924405
186.23,0.63656379
187.23,0.632952818
188.23,0.632338775
189.23,0.629766973
190.23,0.622637457
191.23,0.625359053
192.23,0.622637457
193.23,0.625359053
194.23,0.619165248
195.23,0.622637457
196.23,0.625359053
197.23,0.618195493
198.23,0.618096734
199.23,0.616394303
200.23,0.604885017
201.23,0.596832644
202.23,0.597511354
203.23,0.597346729
204.23,0.593848761
205.23,0.590479243
206.23,0.59226722
207.23,0.589329892
208.23,0.589539638
209.23,0.589672286
210.23,0.587148764
211.23,0.586199919
212.23,0.589594741
213.23,0.580820073
214.23,0.588837502
215.23,0.586605276
216.23,0.583132857
217.23,0.581687028
218.23,0.583089319
219.23,0.582181292
220.23,0.576302782
221.23,0.580800799
222.23,0.580374982
223.23,0.580181296
224.23,0.581307766
225.23,0.578161235
226.23,0.57869761
227.23,0.581936655
228.23,0.579028091
229.23,0.57764048
230.23,0.580347009
231.23,0.576171024
232.23,0.581297732
233.23,0.579960136
234.23,0.579567333
235.23,0.579269763
236.23,0.580245841
237.23,0.582268769
238.23,0.578719601
239.23,0.579953711
240.23,0.582000804
241.23,0.579594811
242.23,0.581278014
243.23,0.579800801
244.23,0.582880411
245.23,0.580868159
246.23,0.582397514
247.23,0.578899001
248.23,0.579709272
249.23,0.581771784
250.23,0.581187818
251.23,0.583654355
252.23,0.583168144
253.23,0.58078938
254.23,0.576620714
255.23,0.581989339
256.23,0.58091165
257.23,0.581627473
258.23,0.580843843
259.23,0.582551908
260.23,0.58082462
261.23,0.580944616
262.23,0.580197756
263.23,0.581361834
264.23,0.580015093
265.23,0.584349125
266.23,0.581078351
267.23,0.583779443
268.23,0.583317054
269.23,0.579581072
270.23,0.580829661
271.23,0.582302229
272.23,0.587355643
273.23,0.585536878
274.23,0.582551461
275.23,0.585820705
276.23,0.581960034
277.23,0.589138532
278.23,0.585399782
279.23,0.589083919
280.23,0.588066675
281.23,0.58917115
282.23,0.588331424
283.23,0.588739303
284.23,0.589599782
285.23,0.589138532
286.23,0.585399782
287.23,0.589083919
288.23,0.588066675
289.23,0.58917115
290.23,0.588331424
291.23,0.588739303
292.23,0.589599782
293.23,0.589599782
294.23,0.656687333
295.23,0.67716654
296.23,0.69246734
297.23,0.703998108
298.23,0.716048793
299.23,0.730348116
300.365,0.734224653
301.365,0.744012565
302.365,0.749334441
303.365,0.751152712
304.365,0.759437267
305.365,0.762658129
306.365,0.773635026
307.365,0.777162006
308.365,0.781176727
309.365,0.771557932
310.365,0.787379194
311.365,0.781134817
312.365,0.791609591
313.365,0.793099508
314.365,0.794126439
315.365,0.79434444
316.365,0.795923858
317.365,0.795863907
318.365,0.797488398
319.365,0.797490374
320.365,0.797325405
321.365,0.799097172
322.365,0.801708811
323.365,0.801025606
324.365,0.795763336
325.365,0.803253883
326.365,0.801050316
327.365,0.802111253
328.365,0.80385999
329.365,0.80542043
330.365,0.805640008
331.365,0.803231149
332.365,0.801467684
333.365,0.801996002
334.365,0.803257291
335.365,0.797120799
336.365,0.803127462
337.365,0.802214446
338.365,0.801340323
339.365,0.798009895
340.365,0.799001345
341.365,0.799469811
342.365,0.802202782
343.365,0.786418192
344.365,0.80136019
345.365,0.797738028
346.365,0.798058775
347.365,0.798358765
348.365,0.802376201
349.365,0.7973046
350.365,0.793496708
351.365,0.79858907
352.365,0.79937013
353.365,0.796893954
354.365,0.798521805
355.365,0.796616354
356.365,0.796803512
357.365,0.793257064
358.365,0.794189256
359.365,0.793251232
360.365,0.799086991
361.365,0.79738392
362.365,0.795413727
363.365,0.796760468
364.365,0.794940465
365.365,0.796187374
366.365,0.792353043
367.365,0.793675021
368.365,0.791813457
369.365,0.794703091
370.365,0.790489648
371.365,0.789138803
372.365,0.796818983
373.365,0.792775796
374.365,0.790072478
375.365,0.792343404
376.365,0.793095653
377.365,0.787563537
378.365,0.789340594
379.365,0.787601149
380.365,0.787165001
381.365,0.784684875
382.365,0.785241363
383.365,0.786787221
384.365,0.783900501
385.365,0.783599674
386.365,0.78693534
387.365,0.78788201
388.365,0.787109008
389.365,0.782684878
390.365,0.786763103
391.365,0.783711513
392.365,0.779947511
393.365,0.782053613
394.365,0.782220315
395.365,0.778433179
396.365,0.783370701
397.365,0.778718196
398.365,0.780999449
399.365,0.781810755
400.365,0.779172725
401.365,0.774681928
402.365,0.782015559
403.365,0.77988588
404.365,0.779397099
405.365,0.774671352
406.365,0.775962886
407.365,0.777588416
408.365,0.771629052
409.365,0.776377139
410.365,0.778042799
411.365,0.774276967
412.365,0.774401509
413.365,0.775365872
414.365,0.773022494
415.365,0.769654854
416.365,0.767658068
417.365,0.771709807
418.365,0.766433549
419.365,0.771576171
420.365,0.763888234
421.365,0.770266346
422.365,0.767195778
423.365,0.759542191
424.365,0.76963276
425.365,0.764484951
426.365,0.764613989
427.365,0.764787657
428.365,0.760170835
429.365,0.764679226
430.365,0.763647946
431.365,0.763031211
432.365,0.76245293
433.365,0.761253019
434.365,0.762268338
435.365,0.752055005
436.365,0.764398116
437.365,0.758103178
438.365,0.754341497
439.365,0.752520802
440.365,0.754217104
441.365,0.754028065
442.365,0.754294598
443.365,0.751879953
444.365,0.751993327
445.365,0.749880202
446.365,0.746560845
447.365,0.7507435
448.365,0.742677934
449.365,0.745979745
450.365,0.741909921
451.365,0.742521465
452.365,0.739298381
453.365,0.738373749
454.365,0.738492413
455.365,0.734365553
